payment_id,bill_id,member_id,payment_date,payment_amount,payment_mode,payment_status
PA000001,BI000001,M000927,2025-12-22,2120.33,Debit Card,Success
PA000002,BI000002,M001197,2024-12-04,2754.57,Cash,Success
PA000003,BI000003,M000384,2024-10-19,2865.9,Credit Card,Success
PA000004,BI000004,M001254,2024-08-05,2389.26,,Success
PA000005,BI000005,M002346,2024-11-02,1631.31,Wallet,Success
PA000006,BI000006,M000411,2024-04-06,1425.81,,Success
PA000007,BI000007,M002017,2025-07-13,4196.34,Credit Card,Success
PA000008,BI000008,M000461,2025-10-23,4745.39,UPI,Success
PA000009,BI000009,M001564,2025-12-11,5168.74,Credit Card,Success
PA000010,BI000010,M001397,2024-04-04,685.03,Debit Card,Success
PA000011,BI000011,M001020,2025-10-24,2508.03,Net Banking,Success
PA000012,BI000012,M002413,2025-08-19,1449.42,Debit Card,Success
PA000013,BI000013,M000344,2024-05-18,3700.2,Wallet,Success
PA000014,BI000014,M001115,2025-08-03,2455.48,Net Banking,Success
PA000015,BI000015,M000912,2025-03-05,3589.76,UPI,Success
PA000016,BI000016,M001426,2024-01-15,1919.74,Debit Card,Success
PA000017,BI000017,M001660,2024-08-09,3688.24,Wallet,Success
PA000018,BI000018,M001621,2024-10-02,4366.14,UPI,Success
PA000019,BI000019,M001472,2025-10-10,1809.0,Net Banking,Success
PA000020,BI000020,M000429,2024-06-13,3994.71,Cash,Failed
PA000021,BI000021,M001329,2024-09-13,4912.74,Debit Card,Success
PA000022,BI000022,M002459,2025-04-23,749.62,UPI,Success
PA000023,BI000023,M000956,2024-07-11,1655.54,UPI,Success
PA000024,BI000024,M002463,2024-11-29,3649.18,Credit Card,Success
PA000025,BI000025,M002219,2024-11-27,3594.88,Cash,Success
PA000026,BI000026,M001907,2024-06-17,1938.47,Credit Card,Success
PA000027,BI000027,M001598,2025-10-16,1936.38,Credit Card,Success
PA000028,BI000028,M000414,2025-11-01,4658.33,Cash,Success
PA000029,BI000029,M001014,2024-10-01,4868.07,Wallet,Failed
PA000030,BI000030,M000786,2024-12-16,-5068.46,Cash,Failed
PA000031,BI000031,M002347,2024-01-27,4972.36,Debit Card,Failed
PA000032,BI000032,M000050,2025-12-24,3731.77,Debit Card,Success
PA000033,BI000033,M001481,2025-11-27,3080.2,Cash,Failed
PA000034,BI000034,M001021,2025-12-22,3385.93,Cash,Success
PA000035,BI000035,M001672,2024-11-19,4418.99,UPI,Success
