room_id,hospital_id,room_number,room_type,floor_number,daily_charge,room_status
RM00001,H001,626,ICU,1,11862,Occupied
RM00002,H001,320,Semi-Private,4,3221,Occupied
RM00003,H001,211,General,3,1605,Vacant
RM00004,H001,326,Emergency,4,4381,Vacant
RM00005,H001,120,Private,4,5865,Occupied
RM00006,H001,128,Emergency,1,4475,Vacant
RM00007,H001,629,General,5,1321,Occupied
RM00008,H001,328,Private,5,6232,Occupied
RM00009,H001,227,Private,1,6231,Occupied
RM00010,H001,515,Emergency,6,4022,Vacant
RM00011,H002,429,General,4,1699,Vacant
RM00012,H002,323,ICU,2,12062,Vacant
RM00013,H002,127,Semi-Private,2,2906,Vacant
RM00014,H002,419,Private,5,6305,Occupied
RM00015,H002,503,Private,1,5934,Occupied
RM00016,H002,415,General,5,1539,Occupied
RM00017,H002,122,Private,5,6231,Vacant
RM00018,H002,119,General,2,1449,Occupied
RM00019,H002,406,ICU,2,12421,Vacant
RM00020,H002,229,Private,4,5801,Occupied
RM00021,H002,228,ICU,4,12151,Occupied
RM00022,H002,205,General,4,1400,Occupied
RM00023,H002,227,Private,4,5805,Occupied
RM00024,H003,207,Emergency,2,4461,Vacant
RM00025,H003,621,Semi-Private,1,2852,Occupied
RM00026,H003,109,Semi-Private,6,3208,Occupied
RM00027,H003,125,Private,4,5896,Occupied
RM00028,H003,208,Private,1,5879,Occupied
RM00029,H003,617,Private,2,6131,Vacant
RM00030,H003,618,Semi-Private,4,3147,Occupied
RM00031,H003,509,General,5,1542,Occupied
RM00032,H003,505,Private,1,6152,Occupied
RM00033,H003,409,Emergency,3,4333,Occupied
RM00034,H003,413,General,2,1965,Vacant
RM00035,H003,205,General,2,1398,Occupied
RM00036,H003,626,Emergency,5,3847,Occupied
RM00037,H003,505,General,1,1642,Occupied
RM00038,H003,603,Private,2,6176,Occupied
RM00039,H003,518,General,2,1499,Occupied
RM00040,H003,419,General,6,1374,Vacant
RM00041,H003,323,Private,6,6150,Vacant
RM00042,H003,424,ICU,4,12395,Vacant
RM00043,H003,212,ICU,2,12220,Occupied
RM00044,H003,116,General,1,1439,Occupied
RM00045,H003,323,Private,4,6074,Occupied
RM00046,H003,313,ICU,3,12433,Vacant
RM00047,H003,201,Semi-Private,1,2933,Occupied
